State,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Andhra Pradesh,"2,650","3,060","3,390","3,830","4,230","4,120","4,880","7,110","7,960","9,010","10,550","12,560","12,620","13,810","16,250","19,210","23,930","28,790","33,360","35,180","45,140","53,280","59,880","64,120","38,480","44,420"
Arunachal Pradesh,0,0,0,0,10,10,10,10,10,10,20,30,40,40,50,60,80,100,140,170,210,320,320,430,490,510
Assam,420,510,520,610,630,700,770,880,980,"1,230","1,410","1,570","1,940","2,070","2,710","3,230","3,480","3,360","4,150","4,990","5,930","7,640","8,250","8,990","10,750","12,890"
Bihar,"1,140","1,310","1,560","1,750","1,840","1,970","2,250","2,390","2,670","3,640","2,940","2,440","2,760","3,360","3,340","3,560","4,030","5,090","6,170","8,090","9,870","12,610","16,250","19,960","25,660","30,880"
Chhattisgarh,,,,,,,,,,,750,"1,990","2,330","2,590","3,230","4,050","5,050","5,620","6,590","7,120","9,010","10,710","13,030","14,340","18,130","20,090"
Delhi,,,,550,"1,790","2,110","2,530","2,940","3,090","3,430","4,400","4,900","5,320","5,880","7,110","8,940","10,160","11,780","12,180","13,450","16,480","19,970","23,430","25,920","27,670","34,660"
Goa,90,110,140,190,230,270,300,370,360,460,520,570,600,710,860,"1,100","1,290","1,360","1,690","1,760","2,140","2,550","2,940","3,580","4,080","4,290"
Gujarat,"2,400","2,890","3,460","3,940","4,740","5,320","6,070","6,590","7,620","8,160","9,050","9,250","9,520","11,170","12,960","15,700","18,470","21,890","23,560","26,740","36,340","44,250","53,900","56,370","62,070","68,420"
Haryana,"1,070","1,300","1,450","1,590","1,890","2,170","2,140","2,370","3,120","3,520","4,310","4,970","5,550","6,350","7,440","9,080","10,930","11,620","11,660","13,220","16,790","20,400","23,560","25,570","29,600","33,250"
Himachal Pradesh,160,190,220,260,300,340,410,480,570,620,730,920,890,980,"1,250","1,500","1,660","1,960","2,240","2,570","3,640","4,110","4,630","5,120","5,700","6,340"
Jammu & Kashmir,160,160,210,230,240,290,290,370,440,580,750,860,980,"1,150","1,400","1,690","1,900","2,300","2,690","3,070","3,480","4,750","5,830","6,270","6,440","8,010"
Jharkhand,,,,,,,,,,,,"2,080","2,280","2,280","2,400","2,890","3,130","3,550","5,080","5,560","5,970","6,950","8,220","9,380","13,310","14,700"
Karnataka,"2,330","2,900","3,100","3,810","4,290","5,270","5,770","6,410","6,940","7,740","9,040","9,850","10,440","12,570","16,070","18,630","23,300","25,990","27,650","30,580","38,470","46,480","53,750","62,600","68,550","76,450"
Kerala,"1,340","1,670","1,890","2,340","2,800","3,380","3,900","4,500","4,650","5,190","5,870","5,920","7,300","8,090","8,960","9,780","11,940","13,670","15,990","17,630","21,720","25,720","30,080","32,000","38,280","45,430"
Madhya Pradesh,"1,750","2,120","2,330","2,680","2,870","3,520","4,100","4,560","5,110","5,800","5,640","4,700","6,170","6,790","7,770","9,120","10,470","12,020","13,610","17,270","21,420","26,970","30,580","33,550","39,190","43,450"
Maharashtra,"5,120","5,950","6,560","7,700","9,450","10,930","11,720","13,720","14,200","17,270","19,720","21,290","22,810","25,160","30,610","33,540","40,100","47,530","52,030","59,110","75,030","87,610","1,03,450","1,08,600","1,18,960","1,30,580"
Manipur,20,10,20,20,20,30,10,40,30,40,50,50,70,70,80,90,120,150,170,200,270,370,330,470,590,670
Meghalaya,40,40,40,50,60,70,80,70,90,100,120,140,150,180,210,250,300,320,370,440,570,700,850,950,"1,210","1,040"
Mizoram,0,0,10,10,10,10,10,10,10,10,10,20,30,30,40,60,70,80,90,110,130,180,220,230,270,330
Nagaland,20,20,20,20,20,20,30,30,40,40,60,50,60,70,80,110,120,130,160,180,230,300,340,330,360,430
Odisha,670,670,760,860,920,"1,130","1,340","1,420","1,490","1,700","2,180","2,470","2,870","3,300","4,180","5,000","6,070","6,860","8,000","8,980","11,190","13,440","15,030","16,890","19,270","21,280"
Punjab,"1,290","1,540","1,760","2,150","2,600","2,650","2,740","3,040","3,260","3,950","4,900","4,820","5,710","6,150","6,950","8,990","9,020","9,900","11,150","12,040","16,830","18,840","22,590","24,080","28,560","29,350"
Rajasthan,"1,220","1,550","1,730","1,950","2,310","2,730","3,120","3,610","3,940","4,530","5,300","5,670","6,250","7,250","8,420","9,880","11,610","13,280","14,940","16,410","20,760","25,380","30,500","33,480","39,790","47,100"
Sikkim,10,10,10,10,10,20,20,30,30,30,70,80,110,110,120,150,170,200,180,220,280,290,440,520,510,560
Tamil Nadu,"3,120","3,730","4,160","4,800","5,830","7,150","7,980","8,690","9,630","10,920","12,280","13,010","14,340","15,940","19,360","23,330","27,770","29,620","33,680","36,550","47,780","59,520","71,250","73,720","85,770","96,080"
Telangana,,,,,,,,,,,,,,,,,,,,,,,,0,"35,380","46,500"
Tripura,30,30,30,40,40,50,60,70,80,100,130,160,180,220,240,300,340,370,440,530,620,860,"1,000","1,070","1,240","1,320"
Uttar Pradesh,"3,160","3,500","3,890","4,130","4,880","5,470","6,310","7,000","7,910","9,400","10,980","10,330","12,770","13,600","15,690","18,860","23,000","24,960","28,660","33,880","41,350","52,610","58,100","66,580","75,970","91,920"
Uttarakhand,,,,,,,,,,,300,890,"1,020","1,230","1,440","1,790","2,510","2,740","3,040","3,560","4,410","5,620","6,410","7,360","8,200","9,460"
West Bengal,"2,130","2,450","2,610","2,910","3,730","4,130","4,260","4,520","4,780","5,100","5,920","6,510","7,050","8,770","9,920","10,390","11,700","13,130","14,420","16,900","21,130","24,940","32,810","35,830","40,060","46,500"
All India,"30,350","35,760","39,870","45,870","53,950","61,750","68,570","78,290","85,910","99,150","1,13,580","1,23,200","1,36,820","1,54,040","1,82,030","2,12,310","2,52,550","2,86,550","3,21,930","3,63,060","4,60,710","5,57,400","6,54,550","7,12,420","8,16,870","9,32,210"
